,x
1,0.003671203
2,0.004463364
3,0.004574709
4,0.004763754
5,0.00484555
6,0.004949883
7,0.005139093
8,0.005141973
9,0.005167779
10,0.005308684
11,0.005309498
12,0.005410898
13,0.005476787
14,0.005477389
15,0.005488377
16,0.005526149
17,0.005548808
18,0.005557201
19,0.005588342
20,0.005599607
21,0.005637327
22,0.005661473
23,0.005679545
24,0.005681963
25,0.005702802
26,0.005707559
27,0.005713865
28,0.005715284
29,0.00572277
30,0.005728025
31,0.005743943
32,0.005747214
33,0.005758635
34,0.005775474
35,0.005783723
36,0.005789175
37,0.005798118
38,0.005832118
39,0.005843438
40,0.005848687
41,0.005853274
42,0.005858221
43,0.005871308
44,0.00588564
45,0.005913139
46,0.005926769
47,0.005940695
48,0.005949363
49,0.005982492
50,0.005988926
51,0.005994369
52,0.006018269
53,0.006019441
54,0.0060278
55,0.006030813
56,0.006036877
57,0.006045235
58,0.006045787
59,0.006050116
60,0.006058034
61,0.006065728
62,0.00608543
63,0.006141342
64,0.006142329
65,0.006144208
66,0.006161065
67,0.006165631
68,0.006175761
69,0.006177742
70,0.006182872
71,0.006192462
72,0.006196798
73,0.006207881
74,0.006213456
75,0.006214375
76,0.006219715
77,0.006232547
78,0.006232753
79,0.006236246
80,0.00623734
81,0.006240969
82,0.006246695
83,0.006246755
84,0.006250567
85,0.006259727
86,0.006280418
87,0.00629418
88,0.006296504
89,0.0062977
90,0.006304407
91,0.00630805
92,0.006310225
93,0.006313755
94,0.006314788
95,0.006318854
96,0.006324033
97,0.006339612
98,0.006346966
99,0.006363706
100,0.00636471
101,0.006366294
102,0.006369155
103,0.006372865
104,0.006372912
105,0.006373351
106,0.00639372
107,0.006416475
108,0.006420142
109,0.006421286
110,0.006430149
111,0.006432568
112,0.006433283
113,0.006436443
114,0.00643996
115,0.006441104
116,0.006446164
117,0.006448267
118,0.00645311
119,0.006460779
120,0.006464696
121,0.006472005
122,0.006482316
123,0.006485965
124,0.006490782
125,0.006490938
126,0.006492551
127,0.006492672
128,0.006495526
129,0.006500015
130,0.006500145
131,0.006501614
132,0.006503936
133,0.006505072
134,0.006512972
135,0.006517174
136,0.006519477
137,0.006529573
138,0.006534923
139,0.006540422
140,0.006551733
141,0.006553501
142,0.006563423
143,0.006564007
144,0.006565751
145,0.006567649
146,0.006576717
147,0.006584314
148,0.006587464
149,0.006614713
150,0.006617725
151,0.006619403
152,0.006622257
153,0.006623414
154,0.006636531
155,0.00664155
156,0.006642489
157,0.006649715
158,0.006652069
159,0.00665357
160,0.006662015
161,0.006662881
162,0.006666109
163,0.006667361
164,0.006669645
165,0.006670641
166,0.006672246
167,0.006672599
168,0.006675015
169,0.00667799
170,0.006678206
171,0.006679996
172,0.006687228
173,0.006689406
174,0.006691198
175,0.00670281
176,0.00670424
177,0.006704853
178,0.006705681
179,0.006706509
180,0.006710987
181,0.006711752
182,0.006717146
183,0.006719022
184,0.006721333
185,0.006723329
186,0.006725549
187,0.006729721
188,0.006732756
189,0.006738331
190,0.006741257
191,0.006742603
192,0.006745407
193,0.006751406
194,0.00675445
195,0.006754873
196,0.006759165
197,0.006768273
198,0.006773812
199,0.006788227
200,0.006797379
201,0.006800892
202,0.006803285
203,0.006804331
204,0.006805801
205,0.006809919
206,0.006817615
207,0.006818502
208,0.006821449
209,0.006822031
210,0.00682262
211,0.0068238
212,0.006824076
213,0.006824654
214,0.006829631
215,0.00683042
216,0.006830837
217,0.00683468
218,0.0068419
219,0.006848734
220,0.006851396
221,0.006852959
222,0.006853231
223,0.00685945
224,0.006861494
225,0.006865979
226,0.006866561
227,0.00686743
228,0.006867919
229,0.006879314
230,0.006887571
231,0.00689082
232,0.006893731
233,0.006899561
234,0.006908406
235,0.00691018
236,0.00691034
237,0.006914874
238,0.006916569
239,0.006917077
240,0.006921603
241,0.006924857
242,0.00693672
243,0.00693836
244,0.006938527
245,0.006938622
246,0.006944684
247,0.00694885
248,0.006949438
249,0.00695289
250,0.006953354
251,0.006953885
252,0.006957089
253,0.006957543
254,0.006962932
255,0.006963675
256,0.006963778
257,0.006976927
258,0.006978337
259,0.006979466
260,0.00697961
261,0.006987256
262,0.006995631
263,0.007002631
264,0.007007445
265,0.007010375
266,0.00701438
267,0.007017583
268,0.007017607
269,0.007018078
270,0.007021052
271,0.007021116
272,0.007021539
273,0.007028227
274,0.007031189
275,0.007034878
276,0.007039598
277,0.007041807
278,0.007045436
279,0.007045876
280,0.007046348
281,0.007046994
282,0.007049215
283,0.007050507
284,0.007051208
285,0.007051219
286,0.007062249
287,0.007065541
288,0.007067384
289,0.007068155
290,0.00707525
291,0.007076147
292,0.007076835
293,0.007079978
294,0.007080914
295,0.007082261
296,0.007090232
297,0.007092029
298,0.007093904
299,0.007094361
300,0.007097298
301,0.00709748
302,0.007098342
303,0.007100692
304,0.007102227
305,0.007102551
306,0.007108479
307,0.007108708
308,0.00710906
309,0.00711289
310,0.007114327
311,0.007115296
312,0.007116375
313,0.007116822
314,0.007118347
315,0.007119697
316,0.007120257
317,0.007121124
318,0.007125579
319,0.007130256
320,0.007131196
321,0.007132174
322,0.007132519
323,0.007133996
324,0.007136942
325,0.007139637
326,0.007139675
327,0.007142873
328,0.007144031
329,0.007147505
330,0.007150652
331,0.007154167
332,0.007156421
333,0.007157733
334,0.007158214
335,0.007161355
336,0.007163744
337,0.007168204
338,0.007169121
339,0.00716995
340,0.007171533
341,0.007177095
342,0.007178077
343,0.007183294
344,0.007185743
345,0.007185911
346,0.007185963
347,0.007185979
348,0.007188806
349,0.007189707
350,0.007190841
351,0.007190873
352,0.007191999
353,0.007192038
354,0.007199088
355,0.007200511
356,0.007201302
357,0.007203113
358,0.007208638
359,0.007210364
360,0.007211107
361,0.00721217
362,0.007220411
363,0.007222345
364,0.007225245
365,0.007227668
366,0.007232572
367,0.007235754
368,0.007235974
369,0.007236728
370,0.007239561
371,0.00724027
372,0.007242677
373,0.007243427
374,0.007246285
375,0.007246343
376,0.007249364
377,0.007251844
378,0.007254197
379,0.007256187
380,0.007256597
381,0.007260856
382,0.007263325
383,0.007263825
384,0.007265769
385,0.007267929
386,0.007268424
387,0.007269255
388,0.00727458
389,0.007276065
390,0.007277168
391,0.007277553
392,0.007278436
393,0.007282438
394,0.007284155
395,0.007287025
396,0.007287427
397,0.007288492
398,0.007290243
399,0.007291174
400,0.007292964
401,0.007294241
402,0.007294474
403,0.007294916
404,0.007297518
405,0.007298622
406,0.007299004
407,0.007299947
408,0.007310563
409,0.007315041
410,0.007315582
411,0.007315994
412,0.007316693
413,0.007319328
414,0.007322261
415,0.007323098
416,0.007325691
417,0.007326882
418,0.007330007
419,0.007331169
420,0.007331516
421,0.007332955
422,0.007340396
423,0.007341386
424,0.00734237
425,0.00734428
426,0.007345888
427,0.00734953
428,0.007350455
429,0.007353346
430,0.007354049
431,0.007355367
432,0.00735626
433,0.007359108
434,0.007360061
435,0.007360743
436,0.007361195
437,0.007363456
438,0.007364339
439,0.007364581
440,0.007366861
441,0.007368174
442,0.007368361
443,0.007368944
444,0.007371857
445,0.007372243
446,0.007375073
447,0.007379882
448,0.00738105
449,0.007385911
450,0.007386055
451,0.007388431
452,0.007393255
453,0.007397044
454,0.007399956
455,0.007401082
456,0.007401257
457,0.007401543
458,0.007403139
459,0.007407266
460,0.007407469
461,0.007408714
462,0.007408858
463,0.007409105
464,0.007410501
465,0.007411508
466,0.007412149
467,0.007412424
468,0.007412916
469,0.007413346
470,0.007416337
471,0.007416832
472,0.007417557
473,0.007418015
474,0.007419064
475,0.007421117
476,0.007421599
477,0.007422219
478,0.007424119
479,0.00742516
480,0.007425292
481,0.007426058
482,0.007429545
483,0.007430447
484,0.007431503
485,0.007431762
486,0.007431841
487,0.007432619
488,0.007432861
489,0.007433382
490,0.007433501
491,0.007434788
492,0.007436717
493,0.007439067
494,0.007440428
495,0.007440775
496,0.007445878
497,0.007453244
498,0.007453623
499,0.007454176
500,0.007454877
501,0.007455045
502,0.007456502
503,0.007456855
504,0.007459489
505,0.00746016
506,0.007461929
507,0.007463043
508,0.007464305
509,0.007465418
510,0.007466033
511,0.007467563
512,0.007468121
513,0.007469271
514,0.007473721
515,0.007475646
516,0.007476936
517,0.007477013
518,0.007477117
519,0.00748127
520,0.007483247
521,0.007484262
522,0.007485656
523,0.007486465
524,0.007492565
525,0.00749264
526,0.007493137
527,0.007493679
528,0.007499232
529,0.007501347
530,0.007503454
531,0.007503704
532,0.007504791
533,0.007504949
534,0.007505281
535,0.007505619
536,0.007506672
537,0.007508585
538,0.007512296
539,0.007514465
540,0.007514848
541,0.007516653
542,0.007516779
543,0.00752344
544,0.007524276
545,0.007525271
546,0.007525652
547,0.007526861
548,0.007528169
549,0.007528599
550,0.00752889
551,0.007528969
552,0.007528986
553,0.007529069
554,0.007530478
555,0.007532865
556,0.007533308
557,0.007533805
558,0.007535596
559,0.0075367
560,0.007537096
561,0.007538858
562,0.007539539
563,0.007539868
564,0.007540734
565,0.007544236
566,0.007547736
567,0.007549147
568,0.007550384
569,0.007554053
570,0.007555204
571,0.007558418
572,0.007559174
573,0.00756004
574,0.007561496
575,0.007562058
576,0.007562201
577,0.007562636
578,0.00756467
579,0.007564698
580,0.007566173
581,0.007568683
582,0.007569134
583,0.007570154
584,0.007571893
585,0.007575556
586,0.007577971
587,0.007578154
588,0.007578249
589,0.007578607
590,0.00757887
591,0.007583677
592,0.007583685
593,0.007584467
594,0.007585144
595,0.007585377
596,0.007586348
597,0.007587731
598,0.007588571
599,0.007588661
600,0.007589816
601,0.007592182
602,0.007593224
603,0.007595134
604,0.007596012
605,0.007598758
606,0.007598762
607,0.007600485
608,0.007601635
609,0.00760493
610,0.007605451
611,0.007605574
612,0.007609375
613,0.007610874
614,0.007615443
615,0.007615838
616,0.007618681
617,0.007619095
618,0.007620766
619,0.007623805
620,0.007623963
621,0.007624987
622,0.007625985
623,0.00762677
624,0.007626931
625,0.007627561
626,0.007628106
627,0.007628438
628,0.007628451
629,0.007628941
630,0.007629962
631,0.007633342
632,0.00763632
633,0.007637751
634,0.007637854
635,0.007639535
636,0.007640019
637,0.007640652
638,0.007643407
639,0.007643491
640,0.007646253
641,0.007646675
642,0.007650045
643,0.007651403
644,0.007651882
645,0.007653855
646,0.007654891
647,0.007655925
648,0.007657106
649,0.007657903
650,0.00765862
651,0.007658782
652,0.007659381
653,0.007660729
654,0.007661694
655,0.007662623
656,0.007663693
657,0.007664422
658,0.007665998
659,0.007666097
660,0.00766619
661,0.007666851
662,0.007667127
663,0.007668253
664,0.007668315
665,0.00767087
666,0.007672575
667,0.007672763
668,0.00767422
669,0.007674484
670,0.007675144
671,0.007675279
672,0.007677202
673,0.007678179
674,0.00767915
675,0.00767999
676,0.007680576
677,0.007683784
678,0.007686493
679,0.007686847
680,0.00768694
681,0.007687608
682,0.007687769
683,0.00768931
684,0.007692947
685,0.007693396
686,0.007693628
687,0.007697565
688,0.007697845
689,0.007699847
690,0.007700884
691,0.007701043
692,0.007701292
693,0.007701715
694,0.007701797
695,0.007704673
696,0.007708354
697,0.007708655
698,0.007709775
699,0.007709833
700,0.007710734
701,0.007717073
702,0.007717188
703,0.007717893
704,0.007718264
705,0.007718567
706,0.007718745
707,0.007721001
708,0.007721842
709,0.007722075
710,0.007723182
711,0.007723987
712,0.007724673
713,0.007725178
714,0.007726087
715,0.007726121
716,0.007727945
717,0.007728144
718,0.007728216
719,0.007729531
720,0.00773217
721,0.007732679
722,0.007735271
723,0.007735574
724,0.00773639
725,0.007736412
726,0.007737947
727,0.007739166
728,0.007746606
729,0.007748184
730,0.007748381
731,0.007748585
732,0.007748768
733,0.007751851
734,0.007753021
735,0.007753442
736,0.007753745
737,0.007754703
738,0.007759584
739,0.007760692
740,0.00776175
741,0.007762788
742,0.007763112
743,0.007763772
744,0.007764823
745,0.007765619
746,0.007765699
747,0.007765752
748,0.007765889
749,0.007766649
750,0.007766835
751,0.007767722
752,0.007768625
753,0.007769696
754,0.007770653
755,0.007772216
756,0.007772872
757,0.007775867
758,0.007777388
759,0.007780141
760,0.007781639
761,0.00778263
762,0.007783711
763,0.007784373
764,0.0077846
765,0.007787644
766,0.007790175
767,0.007790769
768,0.007790972
769,0.007791329
770,0.007792486
771,0.007792498
772,0.007792837
773,0.00779324
774,0.007793908
775,0.007794141
776,0.007794876
777,0.007795968
778,0.007798765
779,0.007801321
780,0.007801387
781,0.007802522
782,0.007805541
783,0.007807007
784,0.007808197
785,0.007813251
786,0.00781334
787,0.007815008
788,0.007815084
789,0.007817432
790,0.007818149
791,0.007818969
792,0.007819472
793,0.007821581
794,0.007821639
795,0.007824478
796,0.007825753
797,0.007826088
798,0.007827279
