yr,df
0,1
0.002739726,0.999942
0.01369863,0.99971
0.024657534,0.99947
0.090410959,0.998059
0.17260274,0.996281
0.476712329,0.989593
0.712328767,0.984243
0.980821918,0.97792
1.22739726,0.971923
1.473972603,0.96576
1.728767123,0.959287
1.978082192,0.952856
2.224657534,0.946414
3.008219178,0.92579
4.008219178,0.898422
5.008219178,0.870275
6.008219178,0.841442
7.005479452,0.812133
8.010958904,0.782237
9.010958904,0.752476
10.0109589,0.723171
11.01369863,0.694473
12.0109589,0.666446
13.00821918,0.639278
14.01369863,0.612743
15.01643836,0.587727
16.01643836,0.563523
17.01643836,0.540313
18.01369863,0.518115
19.01917808,0.496713
20.01917808,0.476246
21.01917808,0.456786
22.01917808,0.438279
23.01917808,0.420569
24.01643836,0.403782
25.02191781,0.387987
26.02191781,0.372828
27.02465753,0.358414
28.02465753,0.344706
29.02191781,0.331698
30.01917808,0.319318
40.03013699,0.217295
50.03835616,0.149179
